文德,碧湖公園
中正紀念堂,中正紀念堂,長榮海事博物館,國立歷史博物館
關渡,關渡、金色水岸、八里左岸自行車道,琉園水晶博物館(暫時休館),關渡碼頭-甘豆門,關渡宮
西門,西門紅樓
松山,南港山系-象山親山步道,松山慈祐宮
北投,新北投溫泉區,北投圖書館,關渡、金色水岸、八里左岸自行車道,地熱谷,梅庭,北投溫泉博物館,北投公園,關渡宮,北投文物館
葫洲,
臺大醫院,二二八和平公園
劍潭,陽明山溫泉區,陽明山國家公園,臺北忠烈祠,社子島環島與二重疏洪道自行車道,七星山系-天母古道親山步道,冷水坑溫泉區,國立臺灣科學教育館,雙溪生活水岸,陽明山中山樓
木柵,二格山系-指南宮貓空親山步道,景美溪左、右岸自行車道,指南宮
忠孝新生,華山1914文化創意產業園區,臺北啤酒工廠(原建國啤酒廠)
市政府,台北探索館,台北101,國父紀念館,臺北市立動物園,松山文創園區
圓山,基隆河左、右岸親水,臺北忠烈祠,臺北市立美術館,大龍峒保安宮
芝山,雙溪生活水岸
龍山寺,艋舺龍山寺,臺北市鄉土教育中心(剝皮寮歷史街區)
公館,新店溪、大漢溪與淡水河自行車道,指南宮,自來水博物館
新北投,新北投溫泉區,北投圖書館,地熱谷,梅庭,北投溫泉博物館,北投公園,北投文物館
雙連,大稻埕碼頭,新店溪、大漢溪與淡水河自行車道,台北霞海城隍廟
士林,士林官邸,國立故宮博物院,國立臺灣科學教育館,雙溪生活水岸
大湖公園,大湖公園
大直,國立故宮博物院,碧湖公園,基隆河左、右岸親水,臺北忠烈祠
石牌,七星山系-天母古道親山步道
中山,新北投溫泉區,士林官邸,北投圖書館,地熱谷,行天宮,梅庭,中正紀念堂,北投溫泉博物館,長榮海事博物館,袖珍博物館,北投公園,台北霞海城隍廟,基隆河左、右岸親水,七星山系-天母古道親山步道,台北當代藝術館,光點臺北,臺北市立美術館,冷水坑溫泉區,西門紅樓,臺北啤酒工廠(原建國啤酒廠),雙溪生活水岸,陽明山中山樓
忠義,行天宮北投分宮-忠義廟
動物園,二格山系-指南宮貓空親山步道,臺北市立動物園,景美溪左、右岸自行車道,指南宮
松江南京,袖珍博物館
國父紀念館,國父紀念館,松山文創園區
唭哩岸,關渡、金色水岸、八里左岸自行車道
大安森林公園,大安森林公園
象山,南港山系-象山親山步道
行天宮,行天宮
台北101／世貿,
